Title,Genre,Rating,Votes,Duration,Genre_Source
213. Wanted Man,Action,4.8, (2.5K),1h 25m,Action
214. Razakar: The Silent Genocide of Hyderabad,Action,7.4, (5.2K),2h 46m,Action
"215. Love, Courage and the Battle of Bushy Run",Action,5.1, (167),1h 53m,Action
216. Bagheera,Action,6.7, (7.2K),2h 38m,Action
217. Kingdom 4: Return of the Great General,Action,7.1, (1.2K),2h 25m,Action
218. The Lockdown,Action,4.3, (592),1h 57m,Action
219. War of the Worlds: Extinction,Action,3.0, (169),1h 24m,Action
220. Ryan's World the Movie: Titan Universe Adventure,Action,1.8, (625),1h 20m,Action
221. Viduthalai Part 2,Action,8.0, (15K),2h 50m,Action
222. GTMax,Action,5.0, (1.2K),1h 40m,Action
223. Yodha,Action,5.7, (8.8K),2h 10m,Action
224. The Last Front,Action,5.5, (595),1h 38m,Action
225. Mura,Action,7.5, (6.2K),2h 9m,Action
226. The Last Ronin,Action,4.9, (214),2h 1m,Action
227. Vanvaas,Action,6.7, (988),2h 40m,Action
228. Nice Girls,Action,4.2, (1.2K),1h 32m,Action
229. The Ballad of Davy Crockett,Action,4.6, (242),1h 36m,Action
230. 12 Gaun,Action,6.3, (841),2h 27m,Action
231. Saripodhaa Sanivaaram,Action,7.0, (8.8K),2h 46m,Action
232. Chandu Champion,Action,7.8, (34K),2h 22m,Action
233. Don't Mess with Grandma,Action,6.1, (141),1h 21m,Action
234. Everybody Loves Jenifa,Action,8.4, (76),2h 15m,Action
235. Thangalaan,Action,6.6, (6.5K),2h 36m,Action
236. Kanguva,Action,4.6, (14K),2h 32m,Action
237. Je Jatt Vigarh Gya,Action,5.7, (810),2h 12m,Action
238. Guntur Kaaram,Action,5.4, (24K),2h 39m,Action
239. A.R.M,Action,7.1, (8.5K),2h 30m,Action
240. Vedaa,Action,6.0, (4.2K),2h 25m,Action
241. Devaki Nandana Vasudeva,Action,8.9, (2.7K),2h 8m,Action
242. Rogue Elements: A Ryan Drake Story,Action,4.9, (910),44m,Action
243. Memes & Nightmares,Action,5.8, (68),1h 21m,Action
244. 12 to Midnight,Action,3.6, (268),1h 36m,Action
