Movie Name,Genre,Ratings,Voting Counts,Duration
A Cowardly Rout: The Bull Run Account of William Howard Russell,"Documentary, History",6.7,0,94
A Cowboy Against Thunder,Western,6.7,0,94
A Crumbling Affair,Drama,6.7,0,94
A Curse in Disguise,Drama,6.7,0,94
A Cápsula,Sci-Fi,6.4,5,94
A DIME 2 A DOLLA,Drama,6.7,0,94
A Dance of Hopper,Action,6.7,0,87
A Danfo Christmas,Comedy,3.8,51,120
A Dangerous Prey,"Drama, Thriller",6.7,66,94
A Day for Driving,"Drama, Thriller, Crime",6.7,0,94
A Day with Santa,Family,6.7,0,94
A Deal with the Devil?,Documentary,6.7,0,94
A Desert,"Horror, Thriller",6.3,149,103
A Detox Horrific,Horror,6.7,0,72
A Different Man,"Drama, Thriller, Comedy",6.9,27000,112
A Divorce Story,Sci-Fi,6.7,0,94
A Dog's Will 2,"Fantasy, Drama, Comedy",6.3,2600,104
A Drive into Yesterday,Documentary,6.7,0,94
A European Christmas,"Drama, Romance, Comedy",4.7,181,90
A Family Affair,"Drama, Romance, Comedy",5.3,36000,111
A Fantastic Relationship,Comedy,6.7,0,94
A Father I Never Had,Drama,6.7,0,94
A Father's Love,Drama,5.5,156,94
A Festa do Cururuquara - Um Quilombo do Samba de Bumbo Paulista,Documentary,6.7,0,94
A Few Moments of Cheers,"Animation, Drama, Music",7.5,23,68
"A Few Mornings, an Evening",Documentary,5.9,13,94
A Fidai Film,Documentary,7,59,94
A Film in The Clouds Come Up Here with Me (a Prophetic Journey from Now until The End),Drama,6.7,0,94
A Filmmaker's Diary,Documentary,6.7,0,94
A Flaming Forest,Documentary,6.7,0,94
A Flash of Beauty: Paranormal Bigfoot,Documentary,7.8,55,94
A Flicker of Life,"Horror, Thriller",6.7,0,94
A Florentine Tragedy,Comedy,6.7,0,94
A Fly on the Wall,Documentary,8,10,94
A Fragile Flower,"Drama, Romance, Music",8.5,1600,94
A Frown Gone Mad,Documentary,7.3,6,94
A Frozen Adventure,Comedy,6.7,0,90
A Frozen Rage,"Drama, Comedy, Crime",5.2,44,115
A Fúria,Drama,6.7,0,94
A Game in the Woods,Horror,7.4,21,80
A Game of Two Halves,"Family, Sport, Drama",7.3,24,94
A Gangster's Kiss,"Comedy, Crime",5,43,81
A Garota do Bar,Romance,6.7,0,94
A Ghetto Love Story,"Drama, Romance",9.7,9,94
A Girl Like Her,Drama,6.7,0,94
A Girl Like Him,Drama,6.7,0,94
A Girl Named Ann,Drama,7.3,199,94
A Girl Upstairs,"Mystery, Drama",6.6,45,94
A Girl with Closed Eyes,"Drama, Thriller",6.7,0,94
A Glimpse of Forever,Drama,4.4,21,94
A Gong,Horror,6.7,0,107
A Good Enough Day,Drama,6,126,94
A Good Man 2,Thriller,6.4,51,94
A Grain of Salt,"Drama, Crime",6.7,0,94
A Grand Mockery,Drama,6.7,0,94
A Grey Night,Fantasy,6.7,0,56
A Grievous Error,Drama,6.7,0,94
A Halloween Feast,"Horror, Comedy",5.5,776,103
A Hard Place,Drama,6.7,0,94
A Harvest,Documentary,6.7,0,94
A Hateful Enemy,"Drama, Crime",6.7,0,94
A Haunting in Council House,Horror,5,54,94
A Heart That Forgives 2: The Battle Within,Drama,5,15,94
A Heart for Christmas,"Drama, Romance",7.5,99,94
A Hell of A Difference,Horror,7.2,18,80
A Herança,"Mystery, Horror",6.4,56,80
A Herner Ferike faterja,"Drama, Comedy",6.5,65,94
A Hero is Born,"Romance, Action",6.7,0,115
A Hero's Journey: The Making of Percy Jackson and the Olympians,"Documentary, Family",7.5,245,94
A Hip Hop Minute,Documentary,6.7,0,94
A Hip Hop Story,Comedy,8.8,104,90
A Hipster in Rural Spain,Comedy,4.5,583,97
A Hold on Me,Romance,6.7,0,103
A Holiday for Harmony,Family,3.6,34,120
A Horse Named Winx,"Sport, Documentary",8.8,94,94
A Hot Mess,Horror,6.7,0,94
A Hot Mess (I),"Horror, Thriller",6.7,0,94
A House Is Not a Disco,Documentary,7.1,31,94
A House Without a Father,Family,6.2,34,61
A House in Fragments,Drama,6.7,0,94
A House on Fire,"Drama, Comedy",7.3,3100,105
A Hundred Lies,Drama,6.4,149,94
"A Hundred Masks, One Soul",Documentary,6.7,0,94
A Hustler's Son 2,Crime,6.7,0,94
A Joint Custody Christmas,Drama,6.7,0,94
A Journey,Drama,5.6,280,94
A Kidnapping in Amish Country,Drama,6.3,57,94
A Killer Inside,Thriller,6.7,0,94
A Killer in the House,Thriller,2.5,149,90
A King Like Me,Documentary,6.7,0,94
A Kiss That Kills,Drama,6.7,0,94
A Knife in the Dark,"Mystery, Thriller",3.2,86,94
A La Fin du Film - Real Madrid v Bayern Münich,"Sport, Documentary",6.7,0,94
A Lab Story,Drama,8.6,11,94
A Land Behind,Drama,6.7,0,94
A Legend,"Adventure, Drama, Comedy, Action",4.7,850,129
A Lenda dos Quatro,"Horror, Fantasy",6.7,0,94
A Letter of Divorcement,Documentary,6.7,0,94
A Letter to My Husband,Drama,6.7,0,94
A Life in Rhythm: The Ray Conniff Story,Documentary,6.7,0,94
A Life in Tandem,Documentary,6.7,0,94
A Little Dark,Drama,6.7,0,94
A Little Family Drama,"Drama, Comedy",8.8,155,87
A Little Film About Friendship,Drama,6.7,41,94
A Little Something Extra,Comedy,7,4600,99
A Lonely Place to Die,Action,6.7,0,94
A Long Road to Tao,Drama,6.7,0,94
A Long Walk to Happiness,Drama,9.2,12,94
A Long Way from Heaven,Documentary,9.2,14,94
A Look Back with Leonard Maltin - Once Upon A Time in the West,Documentary,6.7,0,94
A Look Through His Lens,Documentary,6.7,0,94
A Love to Last,Romance,6.7,0,114
A Love to Remember,Romance,6.7,0,163
A Lovely Résumé,Romance,9.2,6,70
A Maldição de Romanova,Horror,6.7,0,80
A Man Called Hurt: The Life and Music of Mississippi John Hurt,Documentary,6.7,0,94
A Man Fell,Documentary,9.1,18,94
A Man Imagined,Documentary,7.6,9,94
A Man and a Woman,"Drama, Romance",6.7,0,94
A Man is Dead,"Drama, Thriller, Action",6.7,0,94
A Man with Sole: The Impact of Kenneth Cole,Documentary,6.7,0,94
